sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
457083,115833.327,811.597646018656,811.597646018656,mixed (see notes),not applicable,not applicable
457084,115909.061,782.205683210527,782.205683210527,mixed (see notes),not applicable,not applicable
457085,115983.822,755.80278321207,755.80278321207,mixed (see notes),not applicable,not applicable
457086,116058.415,733.303430389509,733.303430389509,mixed (see notes),not applicable,not applicable
457087,116133.153,715.252767128436,715.252767128436,mixed (see notes),not applicable,not applicable
457088,116207.873,702.56572224816,702.56572224816,mixed (see notes),not applicable,not applicable
457089,116282.855,695.036974769182,695.036974769182,mixed (see notes),not applicable,not applicable
457090,116358.367,693.055922531332,693.055922531332,mixed (see notes),not applicable,not applicable
457091,116434.276,696.670330102298,696.670330102298,mixed (see notes),not applicable,not applicable
457092,116511.618,703.961130729231,703.961130729231,mixed (see notes),not applicable,not applicable
457093,116591.371,712.832473707232,712.832473707232,mixed (see notes),not applicable,not applicable
457094,116679.634,723.154168990352,723.154168990352,mixed (see notes),not applicable,not applicable
457095,116739.189,725.115343498796,725.115343498796,mixed (see notes),not applicable,not applicable
457096,116790.232,723.688815863701,723.688815863701,mixed (see notes),not applicable,not applicable
457097,116838.534,722.430761790763,722.430761790763,mixed (see notes),not applicable,not applicable
457098,116883.864,716.543699217912,716.543699217912,mixed (see notes),not applicable,not applicable
457099,116927.715,707.710973436136,707.710973436136,mixed (see notes),not applicable,not applicable
457100,116971.551,701.58637175549,701.58637175549,mixed (see notes),not applicable,not applicable
457101,117014.91,697.495556725383,697.495556725383,mixed (see notes),not applicable,not applicable
457102,117057.328,692.688781063626,692.688781063626,mixed (see notes),not applicable,not applicable
457103,117099.652,688.194210128837,688.194210128837,mixed (see notes),not applicable,not applicable
457104,117141.926,685.358690490338,685.358690490338,mixed (see notes),not applicable,not applicable
457105,117183.576,683.300077485648,683.300077485648,mixed (see notes),not applicable,not applicable
457106,117225.056,681.87779020641,681.87779020641,mixed (see notes),not applicable,not applicable
457107,117287.092,681.480921516069,681.480921516069,mixed (see notes),not applicable,not applicable
457108,117328.505,681.587894521285,681.587894521285,mixed (see notes),not applicable,not applicable
457109,117369.796,683.267279848605,683.267279848605,mixed (see notes),not applicable,not applicable
457110,117390.433,684.884721048094,684.884721048094,mixed (see notes),not applicable,not applicable
457111,117411.162,686.737422390328,686.737422390328,mixed (see notes),not applicable,not applicable
457112,117431.944,688.959642391951,688.959642391951,mixed (see notes),not applicable,not applicable
457113,117452.771,691.551650942951,691.551650942951,mixed (see notes),not applicable,not applicable
457114,117473.595,694.933067185516,694.933067185516,mixed (see notes),not applicable,not applicable
457115,117494.544,698.425261643722,698.425261643722,mixed (see notes),not applicable,not applicable
457116,117515.417,702.34284071948,702.34284071948,mixed (see notes),not applicable,not applicable
457117,117536.335,706.682442950987,706.682442950987,mixed (see notes),not applicable,not applicable
457118,117557.3,711.490685107679,711.490685107679,mixed (see notes),not applicable,not applicable
457119,117578.237,716.563791292158,716.563791292158,mixed (see notes),not applicable,not applicable
457120,117599.216,721.920038451571,721.920038451571,mixed (see notes),not applicable,not applicable
457121,117620.303,727.237914129721,727.237914129721,mixed (see notes),not applicable,not applicable
457122,117641.436,732.957096781061,732.957096781061,mixed (see notes),not applicable,not applicable
457123,117662.679,738.675068411472,738.675068411472,mixed (see notes),not applicable,not applicable
457124,117684.054,744.463634060415,744.463634060415,mixed (see notes),not applicable,not applicable
457125,117705.488,750.707416407384,750.707416407384,mixed (see notes),not applicable,not applicable
457126,117726.978,757.074389803073,757.074389803073,mixed (see notes),not applicable,not applicable
457127,117748.727,763.191335707435,763.191335707435,mixed (see notes),not applicable,not applicable
457128,117770.796,768.841293421777,768.841293421777,mixed (see notes),not applicable,not applicable
457129,117793.169,774.459091650838,774.459091650838,mixed (see notes),not applicable,not applicable
457130,117815.819,780.064431616692,780.064431616692,mixed (see notes),not applicable,not applicable
457131,117838.608,785.393672348183,785.393672348183,mixed (see notes),not applicable,not applicable
457132,117861.684,790.896654496714,790.896654496714,mixed (see notes),not applicable,not applicable
457133,117885.212,796.741645374128,796.741645374128,mixed (see notes),not applicable,not applicable
457134,117908.998,803.014141653618,803.014141653618,mixed (see notes),not applicable,not applicable
457135,117932.994,810.152313226733,810.152313226733,mixed (see notes),not applicable,not applicable
457136,117957.879,816.548095477681,816.548095477681,mixed (see notes),not applicable,not applicable
457137,117984.117,821.52374189825,821.52374189825,mixed (see notes),not applicable,not applicable
457138,118013.704,822.408393136342,822.408393136342,mixed (see notes),not applicable,not applicable
457139,118051.859,828.827020980075,828.827020980075,mixed (see notes),not applicable,not applicable
457140,118083.982,827.302544541115,827.302544541115,mixed (see notes),not applicable,not applicable
457141,118114.378,826.861672039942,826.861672039942,mixed (see notes),not applicable,not applicable
457142,118143.44,826.099922940732,826.099922940732,mixed (see notes),not applicable,not applicable
457143,118171.304,822.147697906631,822.147697906631,mixed (see notes),not applicable,not applicable
457144,118198.681,817.661959513854,817.661959513854,mixed (see notes),not applicable,not applicable
457145,118225.749,813.69583808258,813.69583808258,mixed (see notes),not applicable,not applicable
457146,118252.6,810.005143398689,810.005143398689,mixed (see notes),not applicable,not applicable
457147,118279.44,806.412424630598,806.412424630598,mixed (see notes),not applicable,not applicable
457148,118305.696,802.729686311205,802.729686311205,mixed (see notes),not applicable,not applicable
457149,118331.826,799.43513522451,799.43513522451,mixed (see notes),not applicable,not applicable
457150,118357.899,796.523122250873,796.523122250873,mixed (see notes),not applicable,not applicable
457151,118383.897,794.282991782548,794.282991782548,mixed (see notes),not applicable,not applicable
457152,118409.628,792.180542854011,792.180542854011,mixed (see notes),not applicable,not applicable
457153,118435.073,789.917986318269,789.917986318269,mixed (see notes),not applicable,not applicable
457154,118461.309,791.503306095154,791.503306095154,mixed (see notes),not applicable,not applicable
457155,118486.46,789.237749873779,789.237749873779,mixed (see notes),not applicable,not applicable
457156,118511.488,786.821321022261,786.821321022261,mixed (see notes),not applicable,not applicable
457157,118536.451,784.642669318025,784.642669318025,mixed (see notes),not applicable,not applicable
